query_id,relevant_products,products,ndcg,recall,top_1_accuracy
TRAIN_016,"['REF_002', 'REF_001', 'REF_008', 'REF_007', 'REF_004', 'REF_003']",REF_003;REF_007;REF_002;REF_001;REF_004;REF_008,1.0,1.0,1.0
TRAIN_017,"['REF_001', 'REF_002', 'REF_008', 'REF_004', 'REF_007', 'REF_005', 'REF_006', 'REF_003', 'REF_009', 'REF_010']",REF_001;REF_003;REF_008;REF_002;REF_005;REF_007;REF_009;REF_006;REF_004,0.9363792118010483,0.9,1.0
TRAIN_018,"['TEA_005', 'ICT_004', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'ICT_010', 'ICT_009']",TEA_008;ICT_004;TEA_007;TEA_009;TEA_005;TEA_004;ICT_010;ICT_009;ICT_006;ICT_007;TEA_006;ICT_008;ICT_005,1.0,1.0,1.0
TRAIN_019,"['REF_001', 'REF_002', 'REF_008']",REF_001;REF_008;REF_002,1.0,1.0,1.0
TRAIN_020,"['REF_002', 'REF_001', 'REF_008', 'REF_007', 'REF_004', 'REF_003', 'REF_005', 'REF_006', 'REF_009', 'REF_010']",REF_001;REF_008;REF_002;REF_009;REF_006;REF_005;REF_007;REF_003;REF_004,0.9363792118010483,0.9,1.0
TRAIN_021,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_015', 'ICE_018', 'ESP_016', 'ICE_015', 'ICE_017', 'ESP_017', 'ICE_012', 'ICE_009', 'ICE_013', 'ICE_002', 'ICE_016', 'ESP_008', 'ICE_007', 'ICE_008', 'ESP_009', 'ESP_018', 'ESP_003', 'ESP_010']",ESP_017;ESP_018;ESP_003;ICE_017;ICE_016;ESP_015;ICE_002;ESP_008;ESP_016;ICE_018;ICE_007;ESP_009;ICE_015;ICE_001;ESP_001;ICE_008;ESP_010;ICE_013;ESP_014;ICE_009;ICE_012;ESP_002,1.0,1.0,1.0
TRAIN_022,"['ESP_014', 'ESP_015', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_016', 'ICE_018', 'ESP_017', 'ESP_008', 'ICE_012', 'ICE_015', 'ICE_013', 'ICE_017', 'ICE_002', 'ICE_009', 'ICE_016', 'ESP_009', 'ICE_007', 'ESP_018', 'ICE_008', 'ESP_003', 'ESP_010', 'ESP_013', 'ICE_014', 'ICE_003', 'ESP_005', 'ICE_004', 'ESP_006', 'ESP_004', 'ESP_012', 'ICE_011', 'ICE_005']",ESP_016;ESP_017;ICE_004;ICE_001;ICE_013;ESP_008;ESP_005;ICE_011;ESP_001;ESP_015;ESP_014;ICE_003;ICE_005;ICE_007;ICE_015;ICE_009;ICE_008;ICE_017;ESP_009;ESP_004;ESP_012;ESP_010;ICE_018;ICE_012;ICE_016;ESP_006;ICE_014;ESP_013;ESP_018;ESP_003;ICE_002;ESP_002,1.0,1.0,1.0
TRAIN_023,"['ESP_014', 'ESP_015', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_016', 'ESP_017', 'ESP_008', 'ICE_012', 'ICE_013', 'ICE_002', 'ESP_009', 'ESP_003']",ESP_017;ICE_001;ESP_001;ESP_016;ESP_008;ICE_013;ESP_002;ICE_002;ESP_015;ESP_003;ESP_009;ESP_014;ICE_012,1.0,1.0,1.0
TRAIN_024,"['REF_001', 'REF_002', 'REF_008', 'REF_004', 'REF_007', 'REF_005', 'REF_006', 'REF_003', 'REF_009']",REF_001;REF_008;REF_007;REF_002;REF_009;REF_003;REF_005;REF_006;REF_004,1.0,1.0,1.0
TRAIN_025,"['CBR_009', 'CBR_001', 'CBR_011', 'CBR_002', 'CBR_012']",CBR_011;CBR_001;CBR_009;CBR_012;CBR_002,1.0,1.0,1.0
TRAIN_026,"['BRW_002', 'BRW_001', 'BRW_004', 'BRW_003', 'BRW_005']",BRW_005;BRW_004;BRW_002;BRW_003;BRW_001,1.0,1.0,1.0
TRAIN_027,"['ESP_014', 'ESP_002', 'ESP_001', 'ESP_015', 'ESP_016', 'ESP_017', 'ESP_008', 'ESP_018', 'ESP_010', 'ESP_009', 'ESP_003', 'ESP_004', 'ESP_005']",ESP_014;ESP_016;ESP_001;ESP_017;ESP_015;ESP_005;ESP_009;ESP_008;ESP_002;ESP_018;ESP_003;ESP_010;ESP_004,1.0,1.0,1.0
TRAIN_028,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_011', 'CBR_009']",CBR_002;CBR_011;CBR_012;CBR_001;CBR_009,1.0,1.0,1.0
TRAIN_029,"['TEA_005', 'ICT_004', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_010', 'TEA_009', 'ICT_010', 'ICT_009', 'TEA_011']",TEA_010;TEA_011;TEA_005;TEA_008;TEA_004;TEA_007;ICT_004;ICT_010;ICT_009;ICT_006;ICT_008;TEA_009;TEA_006;ICT_007;ICT_005,1.0,1.0,1.0
TRAIN_030,"['REF_002', 'REF_001', 'REF_008']",REF_001;REF_002;REF_008,1.0,1.0,1.0
TRAIN_031,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_004', 'BRW_003']",BRW_005;BRW_003;BRW_002;BRW_004;BRW_001,1.0,1.0,1.0
TRAIN_032,"['ESP_014', 'ESP_015', 'ESP_016', 'ESP_002', 'ESP_017', 'ESP_001', 'ESP_008', 'ESP_009', 'ESP_003', 'ESP_018', 'ESP_010', 'ESP_006', 'ESP_013', 'ESP_012', 'ESP_004', 'ESP_005', 'ESP_007', 'ESP_011']",ESP_008;ESP_003;ESP_012;ESP_005;ESP_004;ESP_018;ESP_013;ESP_016;ESP_007;ESP_006;ESP_001;ESP_017;ESP_002;ESP_015;ESP_009;ESP_011;ESP_014;ESP_010,1.0,1.0,1.0
TRAIN_033,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_004', 'BRW_003']",BRW_005;BRW_004;BRW_003;BRW_001;BRW_002,1.0,1.0,1.0
TRAIN_034,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_015', 'ICE_018', 'ESP_016', 'ICE_017', 'ICE_015', 'ESP_017', 'ICE_012', 'ICE_013', 'ICE_009', 'ICE_002', 'ICE_016', 'ICE_007', 'ESP_008', 'ICE_008']",ESP_017;ESP_016;ESP_014;ICE_007;ESP_015;ESP_001;ICE_001;ICE_009;ESP_008;ICE_015;ICE_017;ICE_008;ICE_013;ICE_016;ESP_002;ICE_012;ICE_018;ICE_002,1.0,1.0,1.0
TRAIN_035,"['ESP_014', 'ESP_015', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_016', 'ESP_017', 'ICE_012', 'ESP_008', 'ICE_013', 'ICE_002', 'ESP_009', 'ESP_003']",ESP_017;ICE_001;ESP_001;ESP_016;ICE_002;ESP_002;ESP_008;ICE_013;ESP_015;ESP_003;ESP_009;ESP_014;ICE_012,1.0,1.0,1.0
TRAIN_036,"['TEA_008', 'TEA_007', 'ICT_004', 'ICT_007']",TEA_008;ICT_004;TEA_007;ICT_007,1.0,1.0,1.0
TRAIN_037,"['ESP_002', 'ICE_001', 'ESP_014', 'ESP_001', 'ICE_018', 'ICE_015', 'ICE_017', 'ESP_017', 'ICE_009', 'ICE_016', 'ICE_007', 'ESP_018', 'ICE_008', 'ESP_010', 'ESP_013']",ESP_017;ICE_007;ICE_009;ICE_015;ESP_014;ICE_008;ICE_017;ESP_013;ICE_001;ICE_018;ICE_016;ESP_010;ESP_001;ESP_002;ESP_018,1.0,1.0,1.0
TRAIN_038,"['TEA_005', 'ICT_004', 'TEA_010', 'TEA_008', 'TEA_007', 'TEA_009', 'TEA_004', 'ICT_009', 'ICT_008', 'TEA_006', 'ICT_010', 'ICT_005', 'ICT_007', 'ICT_006']",TEA_008;TEA_005;TEA_010;TEA_007;ICT_004;TEA_004;TEA_009;ICT_010;ICT_008;ICT_009;ICT_006;TEA_006;ICT_007;ICT_005,1.0,1.0,1.0
TRAIN_039,"['TEA_005', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_004', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'ICT_010', 'ICT_009']",TEA_005;TEA_008;TEA_004;TEA_007;ICT_006;TEA_009;ICT_004;ICT_010;ICT_005;ICT_008;ICT_009;TEA_006;ICT_007,1.0,1.0,1.0
TRAIN_040,"['REF_001', 'REF_002', 'REF_008', 'REF_004', 'REF_007', 'REF_005', 'REF_006', 'REF_003', 'REF_009', 'REF_010']",REF_003;REF_010;REF_007;REF_001;REF_005;REF_004;REF_009;REF_008;REF_002;REF_006,1.0,1.0,1.0
TRAIN_041,"['REF_001', 'REF_008', 'REF_002', 'REF_005', 'REF_009', 'REF_006']",REF_001;REF_005;REF_009;REF_008;REF_002;REF_006,1.0,1.0,1.0
TRAIN_042,"['REF_002', 'REF_001']",REF_001;REF_002,1.0,1.0,1.0
TRAIN_043,"['TEA_005', 'TEA_010', 'TEA_008', 'TEA_007', 'TEA_009', 'TEA_004', 'TEA_006']",TEA_005;TEA_008;TEA_007;TEA_004;TEA_009;TEA_010;TEA_006,1.0,1.0,1.0
TRAIN_044,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_008', 'CBR_011', 'CBR_007', 'CBR_009', 'CBR_010', 'CBR_003', 'CBR_004', 'CBR_006', 'CBR_005']",CBR_012;CBR_011;CBR_001;CBR_002;CBR_008;CBR_007;CBR_005;CBR_009;CBR_006;CBR_004;CBR_003;CBR_010,1.0,1.0,1.0
TRAIN_045,['ESP_014'],ESP_014,1.0,1.0,1.0
TRAIN_046,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_004', 'BRW_003']",BRW_005;BRW_004;BRW_003;BRW_001;BRW_002,1.0,1.0,1.0
TRAIN_047,"['TEA_010', 'TEA_012', 'ICT_002']",ICT_002;TEA_010;TEA_012,1.0,1.0,1.0
TRAIN_048,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_008', 'CBR_007', 'CBR_011']",CBR_001;CBR_007;CBR_008;CBR_012;CBR_011;CBR_002,1.0,1.0,1.0
TRAIN_049,"['REF_001', 'REF_008', 'REF_002', 'REF_005', 'REF_009', 'REF_006']",REF_001;REF_009;REF_005;REF_008;REF_002;REF_006,1.0,1.0,1.0
TRAIN_050,"['FRP_011', 'FRP_010', 'FRP_013', 'FRP_001', 'FRP_014', 'FRP_015', 'FRP_006', 'FRP_004', 'FRP_005', 'FRP_002', 'FRP_003', 'FRP_012', 'FRP_008', 'FRP_007', 'FRP_009']",FRP_003;OTH_009;FRP_005;FRP_001;FRP_002;FRP_009;FRP_006;FRP_004;REF_010;FRP_008;FRP_014;FRP_010;FRP_011;FRP_013;FRP_015;FRP_012;FRP_007,0.9236529309126975,1.0,1.0
TRAIN_051,['BRW_004'],BRW_004,1.0,1.0,1.0
TRAIN_052,['CBR_009'],CBR_009,1.0,1.0,1.0
TRAIN_053,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_004', 'BRW_003']",BRW_004;BRW_005;BRW_001;BRW_003;BRW_002,1.0,1.0,1.0
TRAIN_054,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ICE_018', 'ESP_017', 'ICE_015', 'ICE_017', 'ICE_009', 'ICE_016', 'ICE_007', 'ESP_018', 'ICE_008', 'ESP_010', 'ESP_013']",ESP_013;ESP_017;ICE_017;ICE_016;ICE_015;ESP_018;ICE_007;ICE_018;ICE_008;ICE_009;ICE_001;ESP_010;ESP_001;ESP_002;ESP_014,1.0,1.0,1.0
TRAIN_055,"['ESP_002', 'ESP_014', 'ESP_001', 'ESP_017', 'ESP_018', 'ESP_010']",ESP_018;ESP_017;ESP_001;ESP_014;ESP_002;ESP_010,1.0,1.0,1.0
TRAIN_056,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_015', 'ESP_016', 'ESP_017']",ESP_017;ICE_001;ESP_016;ESP_001;ESP_015;ESP_002;ESP_014,1.0,1.0,1.0
TRAIN_057,"['TEA_005', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_004', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'TEA_010', 'ICT_010', 'ICT_009', 'TEA_011']",TEA_011;TEA_005;ICT_010;TEA_008;TEA_010;ICT_004;ICT_006;TEA_004;ICT_009;ICT_008;TEA_009;ICT_005;TEA_007;ICT_007;TEA_006,1.0,1.0,1.0
TRAIN_058,"['ICT_004', 'ICT_007']",ICT_004;ICT_007,1.0,1.0,1.0
TRAIN_059,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_017']",ESP_017;ICE_001;ESP_001;ESP_002;ESP_014,1.0,1.0,1.0
TRAIN_060,['CBR_001'],CBR_001,1.0,1.0,1.0
TRAIN_061,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_011', 'CBR_009']",CBR_012;CBR_011;CBR_001;CBR_002;CBR_009,1.0,1.0,1.0
TRAIN_062,"['REF_001', 'REF_002', 'REF_008', 'REF_005', 'REF_006', 'REF_009']",REF_005;REF_001;REF_009;REF_008;REF_006;REF_002,1.0,1.0,1.0
TRAIN_063,['BRW_004'],BRW_004,1.0,1.0,1.0
TRAIN_064,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_015', 'ESP_016', 'ESP_017', 'ICE_013', 'ESP_008']",ICE_001;ESP_001;ESP_017;ESP_016;ESP_015;ESP_008;ESP_002;ICE_013;ESP_014,1.0,1.0,1.0
TRAIN_065,"['TEA_005', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_004', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'ICT_010']",TEA_005;ICT_010;ICT_006;ICT_008;TEA_004;ICT_005;TEA_008;TEA_009;ICT_004;TEA_007;ICT_007;TEA_006,1.0,1.0,1.0
TRAIN_066,"['ESP_002', 'ESP_001', 'ESP_010', 'ESP_009']",ESP_001;ESP_002;ESP_009;ESP_010,1.0,1.0,1.0
TRAIN_067,"['REF_001', 'REF_002', 'REF_008', 'REF_004', 'REF_007', 'REF_005', 'REF_006', 'REF_003', 'REF_009', 'REF_010']",REF_001;REF_003;REF_007;REF_008;REF_002;REF_005;REF_009;REF_004;REF_006,0.9363792118010483,0.9,1.0
TRAIN_068,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_011', 'CBR_009']",CBR_002;CBR_001;CBR_012;CBR_011;CBR_009,1.0,1.0,1.0
TRAIN_069,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_011', 'CBR_009']",CBR_011;CBR_012;CBR_001;CBR_009;CBR_002,1.0,1.0,1.0
TRAIN_070,"['ICT_005', 'ICT_006', 'ICT_008', 'ICT_010', 'ICT_003']",ICT_004;ICT_007,0.0,0.0,0.0
TRAIN_071,"['TEA_005', 'TEA_009', 'TEA_004', 'TEA_006']",TEA_005;TEA_004;TEA_006;TEA_009,1.0,1.0,1.0
TRAIN_072,"['TEA_005', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_004', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'ICT_010', 'ICT_009', 'TEA_010']",TEA_010;ICT_006;ICT_010;TEA_008;TEA_005;ICT_009;TEA_004;ICT_008;ICT_004;TEA_007;TEA_009;ICT_005;ICT_007;TEA_006,1.0,1.0,1.0
TRAIN_073,['BRW_004'],BRW_004,1.0,1.0,1.0
TRAIN_074,"['ICT_004', 'ICT_005', 'ICT_006']",ICT_004;ICT_006;ICT_005,1.0,1.0,1.0
TRAIN_075,"['ESP_014', 'ESP_017']",ESP_017;ESP_014,1.0,1.0,1.0
TRAIN_076,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_011', 'CBR_009']",CBR_011;CBR_012;CBR_002;CBR_009;CBR_001,1.0,1.0,1.0
TRAIN_077,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_003']",BRW_003;BRW_005;BRW_002;BRW_001,1.0,1.0,1.0
TRAIN_078,"['REF_001', 'REF_008', 'REF_002', 'REF_005', 'REF_009', 'REF_006', 'REF_007', 'REF_003', 'REF_004', 'REF_010']",REF_005;REF_003;REF_001;REF_010;REF_007;REF_009;REF_008;REF_006;REF_004;REF_002,1.0,1.0,1.0
TRAIN_079,"['ICT_004', 'ICT_007']",ICT_004;ICT_007,1.0,1.0,1.0
TRAIN_080,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_004', 'BRW_003']",BRW_005;BRW_004;BRW_001;BRW_003;BRW_002,1.0,1.0,1.0
TRAIN_081,"['ICE_001', 'ICE_018', 'ICE_017', 'ICE_015', 'ICE_012', 'ICE_013', 'ICE_009', 'ICE_002', 'ICE_016', 'ICE_007', 'ICE_008', 'ICE_014', 'ICE_003', 'ICE_004']",ICE_001;ICE_012;ICE_007;ICE_009;ICE_013;ICE_004;ICE_008;ICE_016;ICE_017;ICE_015;ICE_002;ICE_003;ICE_018;ICE_014,1.0,1.0,1.0
TRAIN_082,"['BRW_002', 'BRW_001', 'BRW_003']",BRW_003;BRW_002;BRW_001,1.0,1.0,1.0
TRAIN_083,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_011', 'CBR_009']",CBR_011;CBR_001;CBR_012;CBR_002;CBR_009,1.0,1.0,1.0
TRAIN_084,"['CBR_001', 'CBR_002', 'CBR_011', 'CBR_009']",CBR_002;CBR_011;CBR_009;CBR_001,1.0,1.0,1.0
TRAIN_085,['BRW_004'],ESP_001;CBR_001;ESP_012;ESP_016;ESP_008;ESP_017;CBR_012;ICE_005;ESP_005;FRP_004;ESP_007;ESP_006;ESP_013;ICE_011;CBR_009;ESP_003;FRP_003;ESP_004;ICE_008;FRP_005;ICE_001;ESP_002;TEA_012;ICE_004;ICE_006;BRW_004;TEA_003;ICE_017;ESP_018;ICE_003;TEA_002;FRP_002;TEA_011;ICE_015;CBR_011;TEA_001;ICT_001;ESP_015;ICE_014;ICE_016;ESP_014;ICE_009;ICE_007;ESP_009;TEA_005;ICE_018;ESP_010;ICT_003;FRP_009;TEA_010;ICE_013;BRW_005;BRW_002;FRP_015;ESP_011;ICE_002;FRP_014;REF_001;BRW_003;ICT_002;OTH_001;BRW_001;TEA_004;OTH_003;ICE_012;REF_005;FRP_006;CBR_008;FRP_001;CBR_004;ICE_010;FRP_010;FRP_008;OTH_012;CBR_005;CBR_010;ICT_010;CBR_006;CBR_003;TEA_008;CBR_007;ICT_008;FRP_013;ICT_007;ICT_009;FRP_011;FRP_007;REF_007;OTH_002;REF_003;ICT_004;REF_010;CBR_002;FRP_012;TEA_009;REF_008;ICT_005;REF_009;ICT_006;OTH_011;OTH_015;OTH_010;REF_002;OTH_004;OTH_005;TEA_007;REF_006;OTH_008;OTH_006;REF_004;OTH_014;OTH_007;OTH_009;OTH_013;TEA_006,0.2103099178571525,1.0,0.0
TRAIN_086,"['BRW_002', 'BRW_001', 'BRW_004', 'BRW_003', 'BRW_005']",BRW_004;BRW_005;BRW_003;BRW_001;BRW_002,1.0,1.0,1.0
TRAIN_087,"['ESP_002', 'ICE_001', 'ESP_001', 'ESP_010', 'ICE_015', 'ICE_008', 'ICE_007', 'ESP_013', 'ICE_009']",ICE_008;ESP_013;ICE_015;ICE_007;ICE_001;ICE_009;ESP_001;ESP_002;ESP_010,1.0,1.0,1.0
TRAIN_088,['TEA_010'],TEA_010,1.0,1.0,1.0
TRAIN_089,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_017']",ESP_017;ICE_001;ESP_001;ESP_014;ESP_002,1.0,1.0,1.0
TRAIN_090,['BRW_004'],BRW_004,1.0,1.0,1.0
TRAIN_091,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ESP_017']",ICE_001;ESP_001;ESP_017;ESP_002;ESP_014,1.0,1.0,1.0
TRAIN_092,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_004', 'BRW_003']",BRW_003;BRW_005;BRW_004;BRW_002;BRW_001,1.0,1.0,1.0
TRAIN_093,"['BRW_002', 'BRW_001', 'BRW_004', 'BRW_003', 'BRW_005']",BRW_004;BRW_005;BRW_001;BRW_003;BRW_002,1.0,1.0,1.0
TRAIN_094,"['TEA_005', 'ICT_004', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'ICT_010', 'ICT_009']",TEA_005;TEA_008;ICT_004;TEA_004;TEA_007;TEA_009;ICT_010;ICT_006;ICT_008;ICT_009;ICT_007;ICT_005;TEA_006,1.0,1.0,1.0
TRAIN_095,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_004', 'BRW_003']",BRW_005;BRW_004;BRW_001;BRW_003;BRW_002,1.0,1.0,1.0
TRAIN_096,"['REF_001', 'REF_002', 'REF_008', 'REF_004', 'REF_007', 'REF_005', 'REF_006', 'REF_003', 'REF_009', 'REF_010']",REF_003;REF_001;REF_007;REF_010;REF_005;REF_008;REF_009;REF_004;REF_002;REF_006,1.0,1.0,1.0
TRAIN_097,"['ESP_002', 'ESP_014', 'ESP_001', 'ESP_017', 'ESP_018', 'ESP_010', 'ESP_013']",ESP_017;ESP_014;ESP_013;ESP_001;ESP_018;ESP_010;ESP_002,1.0,1.0,1.0
TRAIN_098,"['FRP_001', 'FRP_015']",FRP_001,0.6131471927654584,0.5,1.0
TRAIN_099,['FRP_006'],FRP_006,1.0,1.0,1.0
TRAIN_100,"['BRW_002', 'BRW_001', 'BRW_004', 'BRW_003']",BRW_004;BRW_003;BRW_002;BRW_001,1.0,1.0,1.0
